municipality_code,municipality_name,comarca_code,comarca_name,reference_period,rfdb_total_eur,rfdb_eur_per_capita,rfdb_index_catalonia_100,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
431299,Riudoms,08,Baix Camp,2023,115702000,16710,80.4,15.477,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.477,15.477,100,,official,default,true
431303,Rocafort de Queralt,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431310,Roda de Berà,36,Tarragonès,2023,135109000,17057,82,19.237,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.237,19.237,100,,official,default,true
431325,Rodonyà,01,Alt Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431331,Roquetes,09,Baix Ebre,2023,137790000,16539,79.6,13.6241,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.6241,13.6241,100,,official,default,true
431346,el Rourell,01,Alt Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431359,Salomó,36,Tarragonès,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431362,la Ràpita,22,Montsià,2023,246790000,15856,76.3,6.2234,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,6.2234,6.2234,100,,official,default,true
431378,Sant Jaume dels Domenys,12,Baix Penedès,2023,49446000,17748,85.4,26.7243,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,26.7243,26.7243,100,,official,default,true
431384,Santa Bàrbara,22,Montsià,2023,58604000,15504,74.6,2.4093,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,2.4093,2.4093,100,,official,default,true
431397,Santa Coloma de Queralt,16,Conca de Barberà,2023,53848000,19061,91.7,40.9515,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,40.9515,40.9515,100,,official,default,true
431401,Santa Oliva,12,Baix Penedès,2023,55603000,15138,72.8,0,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
431418,Pontils,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431423,Sarral,16,Conca de Barberà,2023,26531000,16551,79.6,13.7542,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,13.7542,13.7542,100,,official,default,true
431439,Savallà del Comtat,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431444,la Secuita,36,Tarragonès,2023,35232000,19519,93.9,45.9142,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,45.9142,45.9142,100,,official,default,true
431457,la Selva del Camp,08,Baix Camp,2023,106292000,18364,88.3,33.3991,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,33.3991,33.3991,100,,official,default,true
431460,Senan,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431476,Solivella,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431482,Tarragona,36,Tarragonès,2023,2629218000,18825,90.5,38.3943,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,38.3943,38.3943,100,,official,default,true
431495,Tivenys,09,Baix Ebre,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431508,Tivissa,30,Ribera d'Ebre,2023,27792000,17061,82.1,19.2803,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,19.2803,19.2803,100,,official,default,true
431515,la Torre de Fontaubella,29,Priorat,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431520,la Torre de l'Espanyol,30,Ribera d'Ebre,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431536,Torredembarra,36,Tarragonès,2023,296092000,16648,80.1,14.8052,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.8052,14.8052,100,,official,default,true
431541,Torroja del Priorat,29,Priorat,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431554,Tortosa,09,Baix Ebre,2023,607752000,17275,83.1,21.5991,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,21.5991,21.5991,100,,official,default,true
431567,Ulldecona,22,Montsià,2023,95710000,14623,70.3,0,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,0,0,100,,official,default,true
431573,Ulldemolins,29,Priorat,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431589,Vallclara,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431592,Vallfogona de Riucorb,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431606,Vallmoll,01,Alt Camp,2023,39365000,20302,97.7,54.3984,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,54.3984,54.3984,100,,official,default,true
431613,Valls,01,Alt Camp,2023,458133000,18309,88.1,32.8031,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.8031,32.8031,100,,official,default,true
431628,Vandellòs i l'Hospitalet de l'Infant,08,Baix Camp,2023,118885000,16928,81.4,17.8392,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,17.8392,17.8392,100,,official,default,true
431634,el Vendrell,12,Baix Penedès,2023,709188000,17683,85.1,26.02,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,26.02,26.02,100,,official,default,true
431649,Vespella de Gaià,36,Tarragonès,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431652,Vilabella,01,Alt Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431665,Vilallonga del Camp,36,Tarragonès,2023,44822000,18302,88,32.7273,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,32.7273,32.7273,100,,official,default,true
431671,Vilanova d'Escornalbou,08,Baix Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431687,Vilanova de Prades,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431690,Vilaplana,08,Baix Camp,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431704,Vila-rodona,01,Alt Camp,2023,22746000,16615,79.9,14.4476,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.4476,14.4476,100,,official,default,true
431711,Vila-seca,36,Tarragonès,2023,385789000,16239,78.1,10.3734,85,municipality,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,,,complete,10.3734,10.3734,100,,official,default,true
431726,Vilaverd,16,Conca de Barberà,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
431732,la Vilella Alta,29,Priorat,2023,,,,,0,missing,idescat_rfdbc_21181_25017,,2026-08-21T21:48:17Z,0.2.0,not_published,,engineering_pending,0,100,0,,official,default,false
