municipality_code,municipality_name,comarca_code,comarca_name,reference_period,touches_coast,distance_to_coast_km,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171447,Regencós,10,Baix Empordà,2026-02,false,4.076797,92.17,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,92.17,92.17,100,,official,default,true
171450,Ribes de Freser,31,Ripollès,2026-02,false,78.608913,20.7592,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,20.7592,20.7592,100,,official,default,true
171463,Riells i Viabrea,34,Selva,2026-02,false,14.78641,74.399,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,74.399,74.399,100,,official,default,true
171479,Ripoll,31,Ripollès,2026-02,false,75.352297,22.1564,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,22.1564,22.1564,100,,official,default,true
171485,Riudarenes,34,Selva,2026-02,false,17.087995,71.0519,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,71.0519,71.0519,100,,official,default,true
171498,Riudaura,19,Garrotxa,2026-02,false,58.093097,31.2903,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,31.2903,31.2903,100,,official,default,true
171501,Riudellots de la Selva,34,Selva,2026-02,false,20.801016,65.9667,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,65.9667,65.9667,100,,official,default,true
171518,Riumors,02,Alt Empordà,2026-02,false,6.10667,88.503,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,88.503,88.503,100,,official,default,true
171523,Roses,02,Alt Empordà,2026-02,true,0.190409,100,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,100,100,100,,official,default,true
171539,Rupià,10,Baix Empordà,2026-02,false,14.905566,74.2219,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,74.2219,74.2219,100,,official,default,true
171544,Sales de Llierca,19,Garrotxa,2026-02,false,38.181817,46.5969,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,46.5969,46.5969,100,,official,default,true
171557,Salt,20,Gironès,2026-02,false,28.492881,56.5606,100,municipality,icgc_coast_v1r0_202602,,2026-08-21T18:23:41Z,0.2.0,,,complete,56.5606,56.5606,100,,official,default,true
