municipality_code,municipality_name,comarca_code,comarca_name,reference_period,nearest_station,nearest_station_minutes,nearest_station_km,best_station,best_station_minutes,best_station_skiable_km,second_station,second_station_minutes,third_station,third_station_minutes,ski_raw,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082747,Súria,07,Bages,2026-08-21,Port del Comte,66.236333,65.28,Port del Comte,66.236333,,Masella,82.694167,La Molina,88.9645,0.514327,59.7581,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,59.7581,59.7581,100,,curated,access_variety_no_tier,true
082750,Tavèrnoles,24,Osona,2026-08-21,Vall de Núria,85.425,60.37,Vall de Núria,85.425,7.614,La Molina,91.105,Masella,96.231,0.400619,44.3356,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,44.3356,44.3356,100,,curated,access_variety_no_tier,true
082763,Tagamanent,41,Vallès Oriental,2026-08-21,Vall de Núria,104.1305,82.84,Vall de Núria,104.1305,7.614,La Molina,109.810333,Masella,112.239333,0.295009,30.0117,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,30.0117,30.0117,100,,curated,access_variety_no_tier,true
082779,Talamanca,07,Bages,2026-08-21,Masella,89.5835,98.3,Masella,89.5835,74,La Molina,95.853667,Port del Comte,98.895167,0.373976,40.722,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,40.722,40.722,100,,curated,access_variety_no_tier,true
082785,Taradell,24,Osona,2026-08-21,Vall de Núria,91.923333,67.79,Vall de Núria,91.923333,7.614,La Molina,97.603167,Masella,100.032167,0.361571,39.0396,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,39.0396,39.0396,100,,curated,access_variety_no_tier,true
082798,Terrassa,40,Vallès Occidental,2026-08-21,Masella,98.2375,121.32,Masella,98.2375,74,La Molina,104.507667,Port del Comte,104.717667,0.325757,34.1821,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,34.1821,34.1821,100,,curated,access_variety_no_tier,true
082802,Tavertet,24,Osona,2026-08-21,Vall de Núria,111.207167,74.8,Vall de Núria,111.207167,7.614,La Molina,116.887,Masella,124.904167,0.259145,25.1473,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,25.1473,25.1473,100,,curated,access_variety_no_tier,true
082819,Teià,21,Maresme,2026-08-21,Masella,127.076667,155.5,Masella,127.076667,74,La Molina,133.346833,Port del Comte,133.556667,0.201442,17.321,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,17.321,17.321,100,,curated,access_variety_no_tier,true
082824,Tiana,21,Maresme,2026-08-21,Masella,114.6655,148.47,Masella,114.6655,74,La Molina,120.935667,Port del Comte,121.1455,0.247733,23.5996,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,23.5996,23.5996,100,,curated,access_variety_no_tier,true
082830,Tona,24,Osona,2026-08-21,Vall de Núria,89.002833,67.84,Vall de Núria,89.002833,7.614,La Molina,94.682833,Masella,97.111833,0.379606,41.4856,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,41.4856,41.4856,100,,curated,access_variety_no_tier,true
082845,Tordera,21,Maresme,2026-08-21,Vall de Núria,129.371333,112.78,Vall de Núria,129.371333,7.614,La Molina,135.051333,Masella,140.177333,0.192591,16.1206,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,16.1206,16.1206,100,,curated,access_variety_no_tier,true
082858,Torelló,24,Osona,2026-08-21,Vall de Núria,74.638167,44.8,Vall de Núria,74.638167,7.614,La Molina,80.318167,Masella,88.335167,0.476691,54.6534,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,54.6534,54.6534,100,,curated,access_variety_no_tier,true
082861,la Torre de Claramunt,06,Anoia,2026-08-21,Port del Comte,103.112833,109.57,Port del Comte,103.112833,,Masella,104.632333,La Molina,110.9025,0.306121,31.5187,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,31.5187,31.5187,100,,curated,access_variety_no_tier,true
082877,Torrelavit,03,Alt Penedès,2026-08-21,Port del Comte,112.989,121.92,Port del Comte,112.989,,Masella,114.5085,La Molina,120.778667,0.259661,25.2173,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,25.2173,25.2173,100,,curated,access_variety_no_tier,true
082883,Torrelles de Foix,03,Alt Penedès,2026-08-21,Port del Comte,126.800333,141.95,Port del Comte,126.800333,,Masella,132.431333,La Molina,138.7015,0.200612,17.2084,65,municipality,curated_ski_catalogue;openrouteservice,,2026-08-21T19:58:41Z,0.2.0,,"No snow, traffic, parking capacity, or season duration is modelled.",complete,17.2084,17.2084,100,,curated,access_variety_no_tier,true
