municipality_code,municipality_name,comarca_code,comarca_name,reference_period,population_current,population_1y_ago,population_5y_ago,population_change_5y,growth_1y_pct,cagr_5y_pct,trend_score,scale_adjusted_growth_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171642,Sant Hilari Sacalm,34,Selva,2025,6069,5982,5703,366,1.454363,1.2518,56.9295,87.0318,65.9602,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,65.9602,65.9602,100,,official,annual_trend_scale_adjusted,true
171655,Sant Jaume de Llierca,19,Garrotxa,2025,863,849,871,-8,1.648999,-0.184376,23.0003,7.8075,18.4425,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,18.4425,18.4425,100,,official,annual_trend_scale_adjusted,true
171668,Sant Jordi Desvalls,20,Gironès,2025,880,871,760,120,1.033295,2.975478,97.651,76.1828,91.2105,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,91.2105,91.2105,100,,official,annual_trend_scale_adjusted,true
171674,Sant Joan de les Abadesses,31,Ripollès,2025,3404,3375,3224,180,0.859259,1.092492,53.1659,80.1203,61.2522,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,61.2522,61.2522,100,,official,annual_trend_scale_adjusted,true
171680,Sant Joan de Mollet,20,Gironès,2025,536,526,498,38,1.901141,1.481549,62.3573,65.1122,63.1838,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,63.1838,63.1838,100,,official,annual_trend_scale_adjusted,true
171693,Sant Julià de Ramis,20,Gironès,2025,3715,3644,3576,139,1.948408,0.765592,45.443,77.6088,55.0927,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,55.0927,55.0927,100,,official,annual_trend_scale_adjusted,true
171707,Vallfogona de Ripollès,31,Ripollès,2025,225,222,196,29,1.351351,2.798148,93.4616,62.5469,84.1872,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,84.1872,84.1872,100,,official,annual_trend_scale_adjusted,true
171714,Sant Llorenç de la Muga,02,Alt Empordà,2025,247,258,265,-18,-4.263566,-1.39698,0,0.5015,0.1504,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,0.1504,0.1504,100,,official,annual_trend_scale_adjusted,true
171729,Sant Martí de Llémena,20,Gironès,2025,726,706,641,85,2.832861,2.521681,86.9301,72.8442,82.7043,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,82.7043,82.7043,100,,official,annual_trend_scale_adjusted,true
171735,Sant Martí Vell,20,Gironès,2025,271,264,251,20,2.651515,1.545133,63.8595,59.0595,62.4195,100,municipality,idescat_pmh_446_477,,2026-08-21T21:48:17Z,0.2.0,,,complete,62.4195,62.4195,100,,official,annual_trend_scale_adjusted,true
