municipality_code,municipality_name,comarca_code,comarca_name,reference_period,price_eur_m2_current,price_eur_m2_1y_ago,price_eur_m2_3y_ago,growth_1y_pct,cagr_3y_pct,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080636,Castellolí,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080641,Castellterçol,42,Moianès,2022-2025,1748.36,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080654,Castellví de la Marca,03,Alt Penedès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080667,Castellví de Rosanes,11,Baix Llobregat,2022-2025,1674.35,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080673,Centelles,24,Osona,2022-2025,2125.19,2058.06,2107.9,3.26181,0.272672,14.8066,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,14.8066,14.8066,100,,official,default,true
080689,Cervelló,11,Baix Llobregat,2022-2025,2166.92,2015.57,1882.48,7.509042,4.802305,52.04,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,52.04,52.04,100,,official,default,true
080692,Collbató,11,Baix Llobregat,2022-2025,2168.62,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080706,Collsuspina,42,Moianès,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080713,Copons,06,Anoia,2022-2025,,,,,,,0,missing,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,insufficient_history,,methodology_pending,0,100,0,,official,default,false
080728,Corbera de Llobregat,11,Baix Llobregat,2022-2025,2052.96,1984.78,1788.43,3.435141,4.705505,51.2443,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,51.2443,51.2443,100,,official,default,true
080734,Cornellà de Llobregat,11,Baix Llobregat,2022-2025,2994.24,2867.09,2964.68,4.43481,0.331259,15.2882,90,municipality,gencat_housing_sales_2022_2024_2025,,2026-08-21T21:48:17Z,0.2.0,,,complete,15.2882,15.2882,100,,official,default,true
