municipality_code,municipality_name,comarca_code,comarca_name,reference_period,flood_t10_pct,flood_t100_pct,flood_t500_pct,preferred_flow_zone_pct,flood_risk_raw,flood_safety_score,high_fire_risk_area_pct,very_high_fire_risk_area_pct,fire_risk_raw,fire_safety_score,flood_red_flag,fire_red_flag,risk_review_required,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
082009,Sant Boi de Llobregat,11,Baix Llobregat,2024,,,,,,,24.175824,13.626374,51.428571,60.4543,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,27.2044,82.2044,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082016,Sant Boi de Lluçanès,24,Osona,2024,,,,,,,32.116244,3.651267,39.418778,70.0283,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,31.5127,86.5127,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082021,Sant Celoni,41,Vallès Oriental,2024,,,,,,,36.696614,16.758811,70.214236,45.4789,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,20.4655,75.4655,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082037,Sant Cebrià de Vallalta,21,Maresme,2024,,,,,,,25.801407,14.855356,55.512119,57.199,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,25.7396,80.7396,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082042,Sant Climent de Llobregat,11,Baix Llobregat,2024,,,,,,,28.448276,20.44335,69.334975,46.1798,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,20.7809,75.7809,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082055,Sant Cugat del Vallès,40,Vallès Occidental,2024,,,,,,,29.98851,46.495596,122.979701,3.4155,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,1.537,56.537,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082068,Sant Cugat Sesgarrigues,03,Alt Penedès,2024,,,,,,,15.384615,0,15.384615,89.1877,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,40.1345,95.1345,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082074,Sant Esteve de Palautordera,41,Vallès Oriental,2024,,,,,,,32.110092,38.794233,109.698558,14.0029,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,6.3013,61.3013,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082080,Sant Esteve Sesrovires,11,Baix Llobregat,2024,,,,,,,28.688525,25,78.688525,38.7234,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,17.4255,72.4255,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082093,Sant Fost de Campsentelles,41,Vallès Oriental,2024,,,,,,,25.027685,19.269103,63.565891,50.7788,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,22.8505,77.8505,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082107,Sant Feliu de Codines,41,Vallès Oriental,2024,,,,,,,29.489292,14.16804,57.825371,55.355,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,24.9097,79.9098,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082114,Sant Feliu de Llobregat,11,Baix Llobregat,2024,,,,,,,29.202037,18.505942,66.213922,48.6678,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,21.9005,76.9005,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082129,Sant Feliu Sasserra,07,Bages,2024,,,,,,,41.83995,31.00189,103.84373,18.6702,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,8.4016,63.4016,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082135,Sant Fruitós de Bages,07,Bages,2024,,,,,,,23.370787,26.966292,77.303371,39.8276,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,17.9224,72.9224,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082140,Vilassar de Dalt,21,Maresme,2024,,,,,,,34.310345,22.068966,78.448276,38.9149,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,17.5117,72.5117,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082153,Sant Hipòlit de Voltregà,24,Osona,2024,,,,,,,0,0,0,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082166,Sant Jaume de Frontanyà,14,Berguedà,2024,,,,,,,28.120516,3.873745,35.868006,72.8589,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,32.7865,87.7865,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082172,Sant Joan Despí,11,Baix Llobregat,2024,,,,,,,0,0,0,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082188,Sant Joan de Vilatorrada,07,Bages,2024,,,,,,,31.188119,23.10231,77.392739,39.7563,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,17.8903,72.8903,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082191,Vilassar de Mar,21,Maresme,2024,,,,,,,0,0,0,100,,false,false,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,45,100,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082205,Sant Julià de Vilatorta,24,Osona,2024,,,,,,,33.638863,4.491292,42.621448,67.4752,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,30.3638,85.3638,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082212,Sant Just Desvern,11,Baix Llobregat,2024,,,,,,,26.117647,12,50.117647,61.4994,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,27.6747,82.6747,45,,official,territorial_fire_7_8_high_9_10_very_high,false
082227,Sant Llorenç d'Hortons,03,Alt Penedès,2024,,,,,,,32.866044,18.847352,70.560748,45.2026,,true,true,,70,derived,gencat_fire_hazard_2024,,2026-08-21T20:09:22Z,0.2.0,missing_dependency,Flood and built-up exposure are pending; interval reflects only fire's 45% weight.,partial,20.3412,75.3412,45,,official,territorial_fire_7_8_high_9_10_very_high,false
