municipality_code,municipality_name,comarca_code,comarca_name,reference_period,resident_population,non_resident_present,resident_absent,population_etca,population_etca_pct,etca_pressure,hut_count,hut_per_1000,hotel_count,rural_count,camping_count,tourist_establishments_count,tourist_establishments_per_1000,ieet_available,ieet_total_eur,ieet_hut_eur,ieet_eur_per_resident,etca_score,hut_density_score,tourist_supply_score,ieet_score,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
171501,Riudellots de la Selva,34,Selva,2024,2128,2248,-353,4023,189.1,1.890508,3,1.409774,2,2,0,7,3.289474,false,,,,100,1.4413,2.14,,55.7883,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,55.7883,55.7883,100,,official,default,true
171518,Riumors,02,Alt Empordà,2024,,,,,,,11,42.635659,0,1,0,12,46.511628,false,,,,,43.5892,33.2949,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171523,Roses,02,Alt Empordà,2024,20255,11423,-1967,29711,146.7,1.466848,5340,263.638608,45,2,4,5391,266.156505,false,,,,89.4148,100,100,,94.1781,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,94.1781,94.1781,100,,official,default,true
171539,Rupià,10,Baix Empordà,2024,,,,,,,25,77.399381,0,2,0,27,83.591331,false,,,,,79.1304,60.0222,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171544,Sales de Llierca,19,Garrotxa,2024,,,,,,,8,48.780488,1,2,1,12,73.170732,false,,,,,49.8714,52.511,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171557,Salt,20,Gironès,2024,33946,2632,-3640,32938,97,0.970306,5,0.147293,6,0,0,11,0.324044,false,,,,16.1813,0.1506,0.0024,,8.9378,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,8.9378,8.9378,100,,official,default,true
171576,Sant Andreu Salou,20,Gironès,2024,,,,,,,3,18.404908,0,3,0,6,36.809816,false,,,,,18.8165,26.3017,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171582,Sant Climent Sescebes,02,Alt Empordà,2024,,,,,,,11,15.918958,1,3,0,15,21.70767,false,,,,,16.275,15.4159,,,0,missing,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,not_published,ETCA is not published for every municipality.,engineering_pending,0,100,0,,official,default,false
171595,Sant Feliu de Buixalleu,34,Selva,2024,878,281,-141,1018,115.9,1.159453,14,15.94533,0,1,1,16,18.223235,false,,,,44.0781,16.3019,12.9043,,30.8993,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,30.8993,30.8993,100,,official,default,true
171609,Sant Feliu de Guíxols,10,Baix Empordà,2024,22934,4805,-2224,25515,111.3,1.11254,1053,45.914363,28,1,1,1083,47.222464,false,,,,37.1591,46.9412,33.8072,,38.9342,75,municipality,idescat_etca;gencat_tourism_registry_t2h3-cgys,,2026-08-21T21:48:17Z,0.2.0,,IEET municipal not used; score is the documented base formula.,complete,38.9342,38.9342,100,,official,default,true
